layer_name,cosine_similarity,sensitive,weight_shape
model.language_model.layers.0.self_attn.k_proj,0.8734655976295471,True,"[256, 1536]"
model.language_model.layers.0.self_attn.q_proj,0.8598878383636475,True,"[2048, 1536]"
model.language_model.layers.0.self_attn.v_proj,0.8747170567512512,True,"[256, 1536]"
model.language_model.layers.0.self_attn.o_proj,0.8654359579086304,True,"[1536, 2048]"
model.language_model.layers.0.mlp.gate_proj,0.8681986331939697,True,"[6144, 1536]"
model.language_model.layers.0.mlp.up_proj,0.8720060586929321,True,"[6144, 1536]"
model.language_model.layers.0.mlp.down_proj,0.8659297227859497,True,"[1536, 6144]"
model.language_model.layers.0.per_layer_input_gate,0.8598548173904419,True,"[256, 1536]"
model.language_model.layers.0.per_layer_projection,0.8333829641342163,True,"[1536, 256]"
model.language_model.layers.1.self_attn.k_proj,0.8589626550674438,True,"[256, 1536]"
model.language_model.layers.1.self_attn.q_proj,0.8558567762374878,True,"[2048, 1536]"
model.language_model.layers.1.self_attn.v_proj,0.8703213334083557,True,"[256, 1536]"
model.language_model.layers.1.self_attn.o_proj,0.8699935674667358,True,"[1536, 2048]"
model.language_model.layers.1.mlp.gate_proj,0.8701381683349609,True,"[6144, 1536]"
model.language_model.layers.1.mlp.up_proj,0.8713904619216919,True,"[6144, 1536]"
model.language_model.layers.1.mlp.down_proj,0.8683555126190186,True,"[1536, 6144]"
model.language_model.layers.1.per_layer_input_gate,0.8503060340881348,True,"[256, 1536]"
model.language_model.layers.1.per_layer_projection,0.857254147529602,True,"[1536, 256]"
model.language_model.layers.2.self_attn.k_proj,0.8737936019897461,True,"[256, 1536]"
model.language_model.layers.2.self_attn.q_proj,0.8683059215545654,True,"[2048, 1536]"
model.language_model.layers.2.self_attn.v_proj,0.8632996082305908,True,"[256, 1536]"
model.language_model.layers.2.self_attn.o_proj,0.8685122728347778,True,"[1536, 2048]"
model.language_model.layers.2.mlp.gate_proj,0.8736875057220459,True,"[6144, 1536]"
model.language_model.layers.2.mlp.up_proj,0.8755075931549072,True,"[6144, 1536]"
model.language_model.layers.2.mlp.down_proj,0.8616382479667664,True,"[1536, 6144]"
model.language_model.layers.2.per_layer_input_gate,0.8245326280593872,True,"[256, 1536]"
model.language_model.layers.2.per_layer_projection,0.8784301280975342,True,"[1536, 256]"
model.language_model.layers.3.self_attn.k_proj,0.843476414680481,True,"[256, 1536]"
model.language_model.layers.3.self_attn.q_proj,0.8489591479301453,True,"[2048, 1536]"
model.language_model.layers.3.self_attn.v_proj,0.8721809387207031,True,"[256, 1536]"
model.language_model.layers.3.self_attn.o_proj,0.8578925132751465,True,"[1536, 2048]"
model.language_model.layers.3.mlp.gate_proj,0.8674592971801758,True,"[6144, 1536]"
model.language_model.layers.3.mlp.up_proj,0.8688192367553711,True,"[6144, 1536]"
model.language_model.layers.3.mlp.down_proj,0.8585134744644165,True,"[1536, 6144]"
model.language_model.layers.3.per_layer_input_gate,0.8438689112663269,True,"[256, 1536]"
model.language_model.layers.3.per_layer_projection,0.7996399402618408,True,"[1536, 256]"
model.language_model.layers.4.self_attn.k_proj,0.8380450010299683,True,"[512, 1536]"
model.language_model.layers.4.self_attn.q_proj,0.8549707531929016,True,"[4096, 1536]"
model.language_model.layers.4.self_attn.v_proj,0.8623155951499939,True,"[512, 1536]"
model.language_model.layers.4.self_attn.o_proj,0.8582156300544739,True,"[1536, 4096]"
model.language_model.layers.4.mlp.gate_proj,0.8619011044502258,True,"[6144, 1536]"
model.language_model.layers.4.mlp.up_proj,0.8674522042274475,True,"[6144, 1536]"
model.language_model.layers.4.mlp.down_proj,0.8615977764129639,True,"[1536, 6144]"
model.language_model.layers.4.per_layer_input_gate,0.8209556341171265,True,"[256, 1536]"
model.language_model.layers.4.per_layer_projection,0.839290201663971,True,"[1536, 256]"
model.language_model.layers.5.self_attn.k_proj,0.8544973134994507,True,"[256, 1536]"
model.language_model.layers.5.self_attn.q_proj,0.8475692272186279,True,"[2048, 1536]"
model.language_model.layers.5.self_attn.v_proj,0.849535346031189,True,"[256, 1536]"
model.language_model.layers.5.self_attn.o_proj,0.8564544320106506,True,"[1536, 2048]"
model.language_model.layers.5.mlp.gate_proj,0.8652055859565735,True,"[6144, 1536]"
model.language_model.layers.5.mlp.up_proj,0.8689337968826294,True,"[6144, 1536]"
model.language_model.layers.5.mlp.down_proj,0.8680657148361206,True,"[1536, 6144]"
model.language_model.layers.5.per_layer_input_gate,0.7994006276130676,True,"[256, 1536]"
model.language_model.layers.5.per_layer_projection,0.8193527460098267,True,"[1536, 256]"
model.language_model.layers.6.self_attn.k_proj,0.8679297566413879,True,"[256, 1536]"
model.language_model.layers.6.self_attn.q_proj,0.8585386276245117,True,"[2048, 1536]"
model.language_model.layers.6.self_attn.v_proj,0.8772363662719727,True,"[256, 1536]"
model.language_model.layers.6.self_attn.o_proj,0.8672165870666504,True,"[1536, 2048]"
model.language_model.layers.6.mlp.gate_proj,0.8671088218688965,True,"[6144, 1536]"
model.language_model.layers.6.mlp.up_proj,0.8733791708946228,True,"[6144, 1536]"
model.language_model.layers.6.mlp.down_proj,0.8702108860015869,True,"[1536, 6144]"
model.language_model.layers.6.per_layer_input_gate,0.775409460067749,True,"[256, 1536]"
model.language_model.layers.6.per_layer_projection,0.7872145175933838,True,"[1536, 256]"
model.language_model.layers.7.self_attn.k_proj,0.8440067172050476,True,"[256, 1536]"
model.language_model.layers.7.self_attn.q_proj,0.8493542671203613,True,"[2048, 1536]"
model.language_model.layers.7.self_attn.v_proj,0.8677475452423096,True,"[256, 1536]"
model.language_model.layers.7.self_attn.o_proj,0.8654791712760925,True,"[1536, 2048]"
model.language_model.layers.7.mlp.gate_proj,0.8590904474258423,True,"[6144, 1536]"
model.language_model.layers.7.mlp.up_proj,0.8741459846496582,True,"[6144, 1536]"
model.language_model.layers.7.mlp.down_proj,0.8675675988197327,True,"[1536, 6144]"
model.language_model.layers.7.per_layer_input_gate,0.7522655129432678,True,"[256, 1536]"
model.language_model.layers.7.per_layer_projection,0.8164010047912598,True,"[1536, 256]"
model.language_model.layers.8.self_attn.k_proj,0.8521150946617126,True,"[256, 1536]"
model.language_model.layers.8.self_attn.q_proj,0.8495025634765625,True,"[2048, 1536]"
model.language_model.layers.8.self_attn.v_proj,0.836509644985199,True,"[256, 1536]"
model.language_model.layers.8.self_attn.o_proj,0.856238842010498,True,"[1536, 2048]"
model.language_model.layers.8.mlp.gate_proj,0.8483363389968872,True,"[6144, 1536]"
model.language_model.layers.8.mlp.up_proj,0.8688298463821411,True,"[6144, 1536]"
model.language_model.layers.8.mlp.down_proj,0.8639310598373413,True,"[1536, 6144]"
model.language_model.layers.8.per_layer_input_gate,0.7810289263725281,True,"[256, 1536]"
model.language_model.layers.8.per_layer_projection,0.8147972226142883,True,"[1536, 256]"
model.language_model.layers.9.self_attn.k_proj,0.8484126329421997,True,"[512, 1536]"
model.language_model.layers.9.self_attn.q_proj,0.8513953685760498,True,"[4096, 1536]"
model.language_model.layers.9.self_attn.v_proj,0.8677549362182617,True,"[512, 1536]"
model.language_model.layers.9.self_attn.o_proj,0.8536470532417297,True,"[1536, 4096]"
model.language_model.layers.9.mlp.gate_proj,0.8436704874038696,True,"[6144, 1536]"
model.language_model.layers.9.mlp.up_proj,0.8687747716903687,True,"[6144, 1536]"
model.language_model.layers.9.mlp.down_proj,0.8666094541549683,True,"[1536, 6144]"
model.language_model.layers.9.per_layer_input_gate,0.6779559850692749,True,"[256, 1536]"
model.language_model.layers.9.per_layer_projection,0.8106050491333008,True,"[1536, 256]"
model.language_model.layers.10.self_attn.k_proj,0.8301458358764648,True,"[256, 1536]"
model.language_model.layers.10.self_attn.q_proj,0.8394471406936646,True,"[2048, 1536]"
model.language_model.layers.10.self_attn.v_proj,0.865397036075592,True,"[256, 1536]"
model.language_model.layers.10.self_attn.o_proj,0.8599395155906677,True,"[1536, 2048]"
model.language_model.layers.10.mlp.gate_proj,0.8403209447860718,True,"[6144, 1536]"
model.language_model.layers.10.mlp.up_proj,0.8712522387504578,True,"[6144, 1536]"
model.language_model.layers.10.mlp.down_proj,0.8615099191665649,True,"[1536, 6144]"
model.language_model.layers.10.per_layer_input_gate,0.7064940929412842,True,"[256, 1536]"
model.language_model.layers.10.per_layer_projection,0.8236383199691772,True,"[1536, 256]"
model.language_model.layers.11.self_attn.k_proj,0.8081496953964233,True,"[256, 1536]"
model.language_model.layers.11.self_attn.q_proj,0.840353786945343,True,"[2048, 1536]"
model.language_model.layers.11.self_attn.v_proj,0.861666738986969,True,"[256, 1536]"
model.language_model.layers.11.self_attn.o_proj,0.8366846442222595,True,"[1536, 2048]"
model.language_model.layers.11.mlp.gate_proj,0.8349588513374329,True,"[6144, 1536]"
model.language_model.layers.11.mlp.up_proj,0.8620400428771973,True,"[6144, 1536]"
model.language_model.layers.11.mlp.down_proj,0.8592613935470581,True,"[1536, 6144]"
model.language_model.layers.11.per_layer_input_gate,0.7541327476501465,True,"[256, 1536]"
model.language_model.layers.11.per_layer_projection,0.8044561147689819,True,"[1536, 256]"
model.language_model.layers.12.self_attn.k_proj,0.8214496970176697,True,"[256, 1536]"
model.language_model.layers.12.self_attn.q_proj,0.8313809633255005,True,"[2048, 1536]"
model.language_model.layers.12.self_attn.v_proj,0.8542705178260803,True,"[256, 1536]"
model.language_model.layers.12.self_attn.o_proj,0.8559868335723877,True,"[1536, 2048]"
model.language_model.layers.12.mlp.gate_proj,0.8238941431045532,True,"[6144, 1536]"
model.language_model.layers.12.mlp.up_proj,0.8616214990615845,True,"[6144, 1536]"
model.language_model.layers.12.mlp.down_proj,0.848648726940155,True,"[1536, 6144]"
model.language_model.layers.12.per_layer_input_gate,0.7769054174423218,True,"[256, 1536]"
model.language_model.layers.12.per_layer_projection,0.7459169626235962,True,"[1536, 256]"
model.language_model.layers.13.self_attn.k_proj,0.8490586280822754,True,"[256, 1536]"
model.language_model.layers.13.self_attn.q_proj,0.8233065605163574,True,"[2048, 1536]"
model.language_model.layers.13.self_attn.v_proj,0.780125617980957,True,"[256, 1536]"
model.language_model.layers.13.self_attn.o_proj,0.8212630748748779,True,"[1536, 2048]"
model.language_model.layers.13.mlp.gate_proj,0.8208053112030029,True,"[6144, 1536]"
model.language_model.layers.13.mlp.up_proj,0.8456027507781982,True,"[6144, 1536]"
model.language_model.layers.13.mlp.down_proj,0.8380276560783386,True,"[1536, 6144]"
model.language_model.layers.13.per_layer_input_gate,0.7804189324378967,True,"[256, 1536]"
model.language_model.layers.13.per_layer_projection,0.7381575107574463,True,"[1536, 256]"
model.language_model.layers.14.self_attn.k_proj,0.8424616456031799,True,"[512, 1536]"
model.language_model.layers.14.self_attn.q_proj,0.8230257034301758,True,"[4096, 1536]"
model.language_model.layers.14.self_attn.v_proj,0.7932697534561157,True,"[512, 1536]"
model.language_model.layers.14.self_attn.o_proj,0.8578675985336304,True,"[1536, 4096]"
model.language_model.layers.14.mlp.gate_proj,0.841671347618103,True,"[6144, 1536]"
model.language_model.layers.14.mlp.up_proj,0.8692055940628052,True,"[6144, 1536]"
model.language_model.layers.14.mlp.down_proj,0.8643429279327393,True,"[1536, 6144]"
model.language_model.layers.14.per_layer_input_gate,0.8041622638702393,True,"[256, 1536]"
model.language_model.layers.14.per_layer_projection,0.8497396111488342,True,"[1536, 256]"
model.language_model.layers.15.self_attn.k_proj,0.907664954662323,False,"[256, 1536]"
model.language_model.layers.15.self_attn.q_proj,0.8309328556060791,True,"[2048, 1536]"
model.language_model.layers.15.self_attn.v_proj,0.9073753952980042,False,"[256, 1536]"
model.language_model.layers.15.self_attn.o_proj,0.8646858930587769,True,"[1536, 2048]"
model.language_model.layers.15.mlp.gate_proj,0.8482155203819275,True,"[12288, 1536]"
model.language_model.layers.15.mlp.up_proj,0.8708417415618896,True,"[12288, 1536]"
model.language_model.layers.15.mlp.down_proj,0.8648626804351807,True,"[1536, 12288]"
model.language_model.layers.15.per_layer_input_gate,0.8035379648208618,True,"[256, 1536]"
model.language_model.layers.15.per_layer_projection,0.6875631809234619,True,"[1536, 256]"
model.language_model.layers.16.self_attn.k_proj,0.9074089527130127,False,"[256, 1536]"
model.language_model.layers.16.self_attn.q_proj,0.836401104927063,True,"[2048, 1536]"
model.language_model.layers.16.self_attn.v_proj,0.9075479507446289,False,"[256, 1536]"
model.language_model.layers.16.self_attn.o_proj,0.8687400221824646,True,"[1536, 2048]"
model.language_model.layers.16.mlp.gate_proj,0.8586422204971313,True,"[12288, 1536]"
model.language_model.layers.16.mlp.up_proj,0.8767191171646118,True,"[12288, 1536]"
model.language_model.layers.16.mlp.down_proj,0.8721508979797363,True,"[1536, 12288]"
model.language_model.layers.16.per_layer_input_gate,0.7441747188568115,True,"[256, 1536]"
model.language_model.layers.16.per_layer_projection,0.7559347748756409,True,"[1536, 256]"
model.language_model.layers.17.self_attn.k_proj,0.9073734879493713,False,"[256, 1536]"
model.language_model.layers.17.self_attn.q_proj,0.8284794092178345,True,"[2048, 1536]"
model.language_model.layers.17.self_attn.v_proj,0.9074248671531677,False,"[256, 1536]"
model.language_model.layers.17.self_attn.o_proj,0.8722805976867676,True,"[1536, 2048]"
model.language_model.layers.17.mlp.gate_proj,0.8655637502670288,True,"[12288, 1536]"
model.language_model.layers.17.mlp.up_proj,0.8796908855438232,True,"[12288, 1536]"
model.language_model.layers.17.mlp.down_proj,0.873721718788147,True,"[1536, 12288]"
model.language_model.layers.17.per_layer_input_gate,0.743030309677124,True,"[256, 1536]"
model.language_model.layers.17.per_layer_projection,0.8261609673500061,True,"[1536, 256]"
model.language_model.layers.18.self_attn.k_proj,0.9072858095169067,False,"[256, 1536]"
model.language_model.layers.18.self_attn.q_proj,0.821377158164978,True,"[2048, 1536]"
model.language_model.layers.18.self_attn.v_proj,0.907314658164978,False,"[256, 1536]"
model.language_model.layers.18.self_attn.o_proj,0.8646843433380127,True,"[1536, 2048]"
model.language_model.layers.18.mlp.gate_proj,0.8590747714042664,True,"[12288, 1536]"
model.language_model.layers.18.mlp.up_proj,0.8765937089920044,True,"[12288, 1536]"
model.language_model.layers.18.mlp.down_proj,0.8712286949157715,True,"[1536, 12288]"
model.language_model.layers.18.per_layer_input_gate,0.7210934162139893,True,"[256, 1536]"
model.language_model.layers.18.per_layer_projection,0.8607579469680786,True,"[1536, 256]"
model.language_model.layers.19.self_attn.k_proj,0.9076560139656067,False,"[512, 1536]"
model.language_model.layers.19.self_attn.q_proj,0.8423696160316467,True,"[4096, 1536]"
model.language_model.layers.19.self_attn.v_proj,0.9074946641921997,False,"[512, 1536]"
model.language_model.layers.19.self_attn.o_proj,0.8629932403564453,True,"[1536, 4096]"
model.language_model.layers.19.mlp.gate_proj,0.8468984365463257,True,"[12288, 1536]"
model.language_model.layers.19.mlp.up_proj,0.8723621964454651,True,"[12288, 1536]"
model.language_model.layers.19.mlp.down_proj,0.8719362020492554,True,"[1536, 12288]"
model.language_model.layers.19.per_layer_input_gate,0.6616240739822388,True,"[256, 1536]"
model.language_model.layers.19.per_layer_projection,0.8562411665916443,True,"[1536, 256]"
model.language_model.layers.20.self_attn.k_proj,0.9076199531555176,False,"[256, 1536]"
model.language_model.layers.20.self_attn.q_proj,0.8110222816467285,True,"[2048, 1536]"
model.language_model.layers.20.self_attn.v_proj,0.907467782497406,False,"[256, 1536]"
model.language_model.layers.20.self_attn.o_proj,0.8682706952095032,True,"[1536, 2048]"
model.language_model.layers.20.mlp.gate_proj,0.8473691344261169,True,"[12288, 1536]"
model.language_model.layers.20.mlp.up_proj,0.8734035491943359,True,"[12288, 1536]"
model.language_model.layers.20.mlp.down_proj,0.8706461787223816,True,"[1536, 12288]"
model.language_model.layers.20.per_layer_input_gate,0.6711728572845459,True,"[256, 1536]"
model.language_model.layers.20.per_layer_projection,0.8473836183547974,True,"[1536, 256]"
model.language_model.layers.21.self_attn.k_proj,0.9075568914413452,False,"[256, 1536]"
model.language_model.layers.21.self_attn.q_proj,0.8038126230239868,True,"[2048, 1536]"
model.language_model.layers.21.self_attn.v_proj,0.9074626564979553,False,"[256, 1536]"
model.language_model.layers.21.self_attn.o_proj,0.8606479167938232,True,"[1536, 2048]"
model.language_model.layers.21.mlp.gate_proj,0.850810706615448,True,"[12288, 1536]"
model.language_model.layers.21.mlp.up_proj,0.8792293071746826,True,"[12288, 1536]"
model.language_model.layers.21.mlp.down_proj,0.8745479583740234,True,"[1536, 12288]"
model.language_model.layers.21.per_layer_input_gate,0.6611431241035461,True,"[256, 1536]"
model.language_model.layers.21.per_layer_projection,0.8287621736526489,True,"[1536, 256]"
model.language_model.layers.22.self_attn.k_proj,0.9073271751403809,False,"[256, 1536]"
model.language_model.layers.22.self_attn.q_proj,0.8238818645477295,True,"[2048, 1536]"
model.language_model.layers.22.self_attn.v_proj,0.9074581861495972,False,"[256, 1536]"
model.language_model.layers.22.self_attn.o_proj,0.8683405518531799,True,"[1536, 2048]"
model.language_model.layers.22.mlp.gate_proj,0.8519726991653442,True,"[12288, 1536]"
model.language_model.layers.22.mlp.up_proj,0.8774681687355042,True,"[12288, 1536]"
model.language_model.layers.22.mlp.down_proj,0.8747598528862,True,"[1536, 12288]"
model.language_model.layers.22.per_layer_input_gate,0.6996052265167236,True,"[256, 1536]"
model.language_model.layers.22.per_layer_projection,0.8461740016937256,True,"[1536, 256]"
model.language_model.layers.23.self_attn.k_proj,0.9074443578720093,False,"[256, 1536]"
model.language_model.layers.23.self_attn.q_proj,0.8222720623016357,True,"[2048, 1536]"
model.language_model.layers.23.self_attn.v_proj,0.9076648950576782,False,"[256, 1536]"
model.language_model.layers.23.self_attn.o_proj,0.8651574850082397,True,"[1536, 2048]"
model.language_model.layers.23.mlp.gate_proj,0.8479772806167603,True,"[12288, 1536]"
model.language_model.layers.23.mlp.up_proj,0.8684298992156982,True,"[12288, 1536]"
model.language_model.layers.23.mlp.down_proj,0.863900899887085,True,"[1536, 12288]"
model.language_model.layers.23.per_layer_input_gate,0.7448351383209229,True,"[256, 1536]"
model.language_model.layers.23.per_layer_projection,0.8529946804046631,True,"[1536, 256]"
model.language_model.layers.24.self_attn.k_proj,0.9074276685714722,False,"[512, 1536]"
model.language_model.layers.24.self_attn.q_proj,0.8485074043273926,True,"[4096, 1536]"
model.language_model.layers.24.self_attn.v_proj,0.9075965881347656,False,"[512, 1536]"
model.language_model.layers.24.self_attn.o_proj,0.8616776466369629,True,"[1536, 4096]"
model.language_model.layers.24.mlp.gate_proj,0.8428703546524048,True,"[12288, 1536]"
model.language_model.layers.24.mlp.up_proj,0.8631174564361572,True,"[12288, 1536]"
model.language_model.layers.24.mlp.down_proj,0.8623740673065186,True,"[1536, 12288]"
model.language_model.layers.24.per_layer_input_gate,0.856035590171814,True,"[256, 1536]"
model.language_model.layers.24.per_layer_projection,0.8421630859375,True,"[1536, 256]"
model.language_model.layers.25.self_attn.k_proj,0.9076277017593384,False,"[256, 1536]"
model.language_model.layers.25.self_attn.q_proj,0.8229854702949524,True,"[2048, 1536]"
model.language_model.layers.25.self_attn.v_proj,0.9075237512588501,False,"[256, 1536]"
model.language_model.layers.25.self_attn.o_proj,0.856637716293335,True,"[1536, 2048]"
model.language_model.layers.25.mlp.gate_proj,0.8562923073768616,True,"[12288, 1536]"
model.language_model.layers.25.mlp.up_proj,0.8755172491073608,True,"[12288, 1536]"
model.language_model.layers.25.mlp.down_proj,0.8700830936431885,True,"[1536, 12288]"
model.language_model.layers.25.per_layer_input_gate,0.8714046478271484,True,"[256, 1536]"
model.language_model.layers.25.per_layer_projection,0.8509955406188965,True,"[1536, 256]"
model.language_model.layers.26.self_attn.k_proj,0.9076972007751465,False,"[256, 1536]"
model.language_model.layers.26.self_attn.q_proj,0.8229426741600037,True,"[2048, 1536]"
model.language_model.layers.26.self_attn.v_proj,0.9074736833572388,False,"[256, 1536]"
model.language_model.layers.26.self_attn.o_proj,0.8586275577545166,True,"[1536, 2048]"
model.language_model.layers.26.mlp.gate_proj,0.8651591539382935,True,"[12288, 1536]"
model.language_model.layers.26.mlp.up_proj,0.8783447742462158,True,"[12288, 1536]"
model.language_model.layers.26.mlp.down_proj,0.874402642250061,True,"[1536, 12288]"
model.language_model.layers.26.per_layer_input_gate,0.8709173798561096,True,"[256, 1536]"
model.language_model.layers.26.per_layer_projection,0.8629013299942017,True,"[1536, 256]"
model.language_model.layers.27.self_attn.k_proj,0.9075530767440796,False,"[256, 1536]"
model.language_model.layers.27.self_attn.q_proj,0.8296191692352295,True,"[2048, 1536]"
model.language_model.layers.27.self_attn.v_proj,0.9073981046676636,False,"[256, 1536]"
model.language_model.layers.27.self_attn.o_proj,0.8508685827255249,True,"[1536, 2048]"
model.language_model.layers.27.mlp.gate_proj,0.8662087917327881,True,"[12288, 1536]"
model.language_model.layers.27.mlp.up_proj,0.8787170648574829,True,"[12288, 1536]"
model.language_model.layers.27.mlp.down_proj,0.8776602745056152,True,"[1536, 12288]"
model.language_model.layers.27.per_layer_input_gate,0.8748749494552612,True,"[256, 1536]"
model.language_model.layers.27.per_layer_projection,0.8647217750549316,True,"[1536, 256]"
model.language_model.layers.28.self_attn.k_proj,0.9074151515960693,False,"[256, 1536]"
model.language_model.layers.28.self_attn.q_proj,0.8252032995223999,True,"[2048, 1536]"
model.language_model.layers.28.self_attn.v_proj,0.9076377749443054,False,"[256, 1536]"
model.language_model.layers.28.self_attn.o_proj,0.8499892950057983,True,"[1536, 2048]"
model.language_model.layers.28.mlp.gate_proj,0.8641917109489441,True,"[12288, 1536]"
model.language_model.layers.28.mlp.up_proj,0.8792241811752319,True,"[12288, 1536]"
model.language_model.layers.28.mlp.down_proj,0.8791871070861816,True,"[1536, 12288]"
model.language_model.layers.28.per_layer_input_gate,0.8760858178138733,True,"[256, 1536]"
model.language_model.layers.28.per_layer_projection,0.863760232925415,True,"[1536, 256]"
model.language_model.layers.29.self_attn.k_proj,0.907357931137085,False,"[512, 1536]"
model.language_model.layers.29.self_attn.q_proj,0.8452385663986206,True,"[4096, 1536]"
model.language_model.layers.29.self_attn.v_proj,0.9071024656295776,False,"[512, 1536]"
model.language_model.layers.29.self_attn.o_proj,0.8609081506729126,True,"[1536, 4096]"
model.language_model.layers.29.mlp.gate_proj,0.8742284178733826,True,"[12288, 1536]"
model.language_model.layers.29.mlp.up_proj,0.881716787815094,True,"[12288, 1536]"
model.language_model.layers.29.mlp.down_proj,0.8793113231658936,True,"[1536, 12288]"
model.language_model.layers.29.per_layer_input_gate,0.8736841678619385,True,"[256, 1536]"
model.language_model.layers.29.per_layer_projection,0.8290655612945557,True,"[1536, 256]"
model.language_model.layers.30.self_attn.k_proj,0.9074459075927734,False,"[256, 1536]"
